months;dotcom;greatrecession;covid2020;inflation
1;1.00;1.00;1.00;1.00
2;0.95;0.96;1.00;0.95
3;0.94;0.95;0.91;0.92
4;0.87;0.89;0.80;0.95
5;0.87;0.86;0.90;0.87
6;0.90;0.85;0.94;0.87
7;0.82;0.89;0.96;0.79
8;0.76;0.90;1.01;0.87
9;0.82;0.83;;0.83
10;0.83;0.82;;0.75
11;0.81;0.83;;
12;0.80;0.75;;
13;0.75;0.63;;
14;0.69;0.58;;
15;0.70;0.58;;
16;0.75;0.53;;
17;0.76;0.47;;
18;0.74;0.51;;
19;0.73;0.56;;
20;0.76;0.59;;
21;0.71;0.59;;
22;0.70;0.64;;
23;0.65;0.66;;
24;0.60;0.68;;
25;0.60;0.67;;
26;0.54;0.71;;
27;0.58;0.72;;
28;0.62;0.69;;
29;0.58;0.71;;
30;0.56;0.75;;
31;0.55;0.77;;
32;0.56;0.70;;
33;0.60;0.67;;
34;0.63;0.71;;
35;0.64;0.68;;
36;0.65;0.74;;
37;0.66;0.76;;
38;0.66;0.76;;
39;0.69;0.81;;
40;0.70;0.83;;
41;0.73;0.86;;
42;0.75;0.86;;
43;0.75;0.88;;
44;0.74;0.87;;
45;0.73;0.85;;
46;0.74;0.83;;
47;0.75;0.79;;
48;0.73;0.73;;
49;0.73;0.81;;
50;0.73;0.80;;
51;0.74;0.81;;
52;0.77;0.85;;
53;0.80;0.88;;
54;0.78;0.91;;
55;0.79;0.90;;
56;0.78;0.85;;
57;0.76;0.88;;
58;0.79;0.89;;
59;0.78;0.91;;
60;0.81;0.93;;
61;0.80;0.91;;
62;0.81;0.91;;
63;0.80;0.92;;
64;0.82;0.97;;
65;0.82;0.98;;
66;0.84;1.01;;
67;0.84;;;
68;0.85;;;
69;0.86;;;
70;0.84;;;
71;0.84;;;
72;0.84;;;
73;0.86;;;
74;0.88;;;
75;0.91;;;
76;0.92;;;
77;0.93;;;
78;0.95;;;
79;0.93;;;
80;0.94;;;
81;0.98;;;
82;1.01;;;
